seq,timestamp_ms,ax,ay,az,gx,gy,gz
1,135098,3164,5930,-4361,100,-44,63
2,135107,3222,5914,-4497,128,-45,80
3,135117,3262,5941,-4587,104,-45,85
4,135127,3282,5971,-4636,66,-43,85
5,135137,3313,5999,-4633,36,-39,89
6,135147,3324,5935,-4567,10,-37,92
7,135157,3322,5836,-4484,4,-37,86
8,135167,3308,5832,-4443,24,-35,76
9,135177,3292,5909,-4466,48,-26,62
10,135187,3264,5938,-4531,63,-22,52
11,135197,3279,5917,-4594,54,-19,53
12,135207,3326,5907,-4590,41,-13,52
13,135217,3363,5915,-4528,29,-10,40
14,135227,3364,5983,-4463,16,-3,25
15,135237,3306,6006,-4432,12,5,20
16,135250,3344,5908,-4552,24,9,30
17,135261,3392,5903,-4625,15,16,20
18,135274,3368,5946,-4623,1,26,1
19,135282,3290,5908,-4599,-9,32,-10
20,135292,3267,5904,-4595,-22,30,-10
21,135302,3269,5893,-4546,-26,34,-7
22,135312,3273,5872,-4503,-14,36,-5
23,135322,3278,5903,-4459,-8,35,-10
24,135331,3280,5891,-4509,2,28,-14
25,135345,3251,5902,-4610,20,26,-11
26,135358,3238,5930,-4666,-1,28,-8
27,135366,3246,5867,-4639,-27,28,1
28,135377,3308,5835,-4579,-31,31,7
29,135387,3333,5766,-4548,-30,31,6
30,135401,3312,5758,-4547,-22,28,4
31,135411,3280,5816,-4546,-14,29,3
32,135420,3248,5802,-4512,1,28,13
33,135430,3287,5832,-4469,9,25,23
34,135441,3332,5785,-4480,18,25,32
35,135455,3350,5815,-4464,40,25,34
36,135465,3321,5855,-4488,32,22,27
37,135475,3273,5885,-4514,24,25,30
38,135485,3264,5861,-4554,25,27,38
39,135495,3260,5814,-4528,23,30,45
40,135505,3288,5780,-4477,19,30,52
41,135515,3348,5765,-4436,27,27,55
42,135526,3426,5811,-4417,50,30,57
43,135535,3428,5824,-4477,80,29,57
44,135547,3424,5834,-4615,104,21,54
45,135557,3412,5821,-4693,106,25,55
46,135566,3418,5786,-4650,83,32,60
47,135577,3403,5782,-4542,63,40,61
48,135586,3362,5756,-4428,51,44,58
49,135609,3313,5778,-4464,95,38,61
50,135618,3325,5873,-4575,120,40,63
51,135628,3342,5886,-4685,121,45,71
52,135638,3411,5850,-4704,110,45,81
53,135649,3464,5803,-4679,85,44,80
54,135660,3473,5690,-4651,76,46,72
55,135676,3467,5678,-4539,88,59,47
56,135686,3467,5678,-4539,88,59,47
57,135696,3434,5740,-4527,85,59,34
58,135706,3373,5793,-4627,101,55,40
59,135717,3425,5773,-4652,86,52,46
60,135731,3449,5758,-4604,73,50,44
61,135740,3466,5758,-4541,73,50,45
62,135751,3499,5661,-4606,94,45,49
63,135761,3568,5727,-4726,124,43,36
64,135771,3546,5776,-4758,116,52,19
65,135781,3491,5760,-4763,97,53,11
66,135791,3511,5771,-4762,81,43,8
67,135802,3516,5707,-4795,65,32,4
68,135814,3494,5713,-4779,49,27,-1
69,135824,3453,5703,-4686,29,28,-8
70,135834,3409,5696,-4585,25,29,-13
71,135844,3421,5694,-4586,47,34,-12
72,135854,3456,5658,-4687,67,36,-6
73,135870,3514,5671,-4787,27,28,-14
74,135888,3460,5654,-4787,8,26,-16
75,135896,3458,5622,-4760,-7,20,-13
76,135906,3463,5627,-4723,-15,12,-16
77,135918,3471,5640,-4703,-5,7,-16
78,135932,3475,5671,-4741,26,1,-17
79,135940,3460,5652,-4767,19,-1,-19
80,135950,3470,5675,-4746,-2,1,-18
81,135971,3418,5625,-4629,-45,5,-11
82,135979,3418,5625,-4629,-45,5,-11
83,135989,3433,5600,-4562,-48,0,-1
84,135999,3456,5615,-4571,-25,-9,4
85,136009,3487,5598,-4663,3,-12,5
86,136019,3491,5585,-4758,11,-11,5
87,136030,3481,5616,-4789,7,-10,5
88,136040,3457,5642,-4764,-9,-5,1
89,136050,3402,5684,-4722,-29,-1,2
90,136060,3389,5694,-4685,-42,-1,9
91,136072,3435,5710,-4634,-51,-9,19
92,136082,3476,5625,-4622,-58,-9,24
93,136092,3530,5650,-4612,-50,-11,19
94,136102,3530,5650,-4612,-50,-11,19
95,136112,3536,5666,-4634,-34,-13,10
